Date,Transaction,Name,Memo,Amount
2024-03-29,DEBIT,DEBIT PURCHASE -VISA DD DOORDASH ITSJ855-973-1040CA,Download from usbank.com.3079,-19.40
2024-03-29,DEBIT,DEBIT PURCHASE BEACH LIGHT INC. SANTA MONICACA,Download from usbank.com.3079,-6.77
2024-04-02,CREDIT,ATM DEPOSIT US BANK CRENSHAWCHICAGO CAUS1,Download from usbank.com.3079,120.00
2024-04-02,DEBIT,DEBIT PURCHASE -VISA H MART LA2 CA   LOS ANGELES CA,Download from usbank.com.3079,-16.59
2024-04-03,CREDIT,ZELLE INSTANT PMT FROM FRANK WILLIAMS                 USBbVyliKzRj,Download from usbank.com.,23.00
2024-04-03,DEBIT,DEBIT PURCHASE -VISA UBER   EATS     HELP.UBER.COCA,Download from usbank.com.3079,-53.55
2024-04-03,DEBIT,ATM WITHDRAWAL 151 West 17th StChicago CAUS1,Download from usbank.com.3079,-51.00
2024-04-03,DEBIT,ATM FEE 040324PLUSTERM151 West 17th StChicago CAUS1,Download from usbank.com.,-2.50
2024-04-03,CREDIT,REVERSED ATM FEE 040324PLUSTERM151 West 17th StChicago CAUS1,Download from usbank.com.,2.50
2024-04-04,DEBIT,DEBIT PURCHASE -VISA DAVE & BUSTERS #SANDIAGO CA,Download from usbank.com.3079,-19.30
2024-04-05,DEBIT,DEBIT PURCHASE -VISA LAZ PARKING M471SANDIAGO CA,Download from usbank.com.3079,-9.00
2024-04-08,DEBIT,DEBIT PURCHASE -VISA EVOLVE BY HUDSO SANDIAGO CA,Download from usbank.com.3079,-3.99
2024-04-15,CREDIT,ZELLE INSTANT PMT FROM EMILY SMITH       JPM99afh85g7,Download from usbank.com.,17.00
2024-04-15,CREDIT,ZELLE INSTANT PMT FROM EMILY SMITH          WFCT0S5H3HGP,Download from usbank.com.,17.00
2024-04-15,CREDIT,MOBILE CHECK DEPOSIT,Download from usbank.com.,1298.00
2024-04-15,CREDIT,MOBILE CHECK DEPOSIT,Download from usbank.com.,824.00
